slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,30,30,0,0,0,0
1,0,30,30,0,0,0,0
2,0,30,30,0,0,0,0
3,0,30,30,0,0,0,0
4,0,30,30,0,0,0,0
5,0,30,30,0,0,0,0
6,0,30,30,0,0,0,0
7,0,30,30,0,0,0,0
24,1,30,30,0,0,0,0
48,2,30,30,0,0,0,0
72,3,30,30,0,0,0,0
96,4,30,0,30,0,0,0
120,5,29,1,30,0,1,0
121,5,29,1,30,0,0,0
122,5,27,3,30,0,2,0
123,5,27,3,30,0,0,0
124,5,27,3,30,0,0,0
125,5,27,3,30,0,0,0
126,5,27,3,30,0,0,0
127,5,27,3,30,0,0,0
144,6,27,3,30,0,0,0
168,7,27,3,30,0,0,0
192,8,27,3,30,0,0,0
216,9,27,2,31,0,0,0
240,10,27,0,33,0,0,0
241,10,26,1,33,0,1,0
242,10,26,1,33,0,0,0
243,10,26,1,33,0,0,0
244,10,25,2,33,0,1,0
245,10,24,3,33,0,1,0
246,10,24,3,33,0,0,0
247,10,24,3,33,0,0,0
264,11,24,3,3,30,0,0
288,12,24,3,3,30,0,0
312,13,24,3,3,30,0,0
336,14,24,3,3,30,0,0
360,15,24,0,6,30,0,0
361,15,24,0,6,30,0,0
362,15,24,0,6,30,0,0
363,15,24,0,6,30,0,0
364,15,24,0,6,30,0,0
365,15,24,0,6,30,0,0
366,15,24,0,6,30,0,0
367,15,24,0,6,30,0,0
384,16,24,0,3,33,0,0
408,17,24,0,3,33,0,0
432,18,24,0,3,33,0,0
456,19,24,0,3,33,0,0
480,20,24,0,3,33,0,0
481,20,24,0,3,33,0,0
482,20,24,0,3,33,0,0
483,20,24,0,3,33,0,0
484,20,24,0,3,33,0,0
485,20,24,0,3,33,0,0
486,20,24,0,3,33,0,0
487,20,24,0,3,33,0,0
504,21,24,0,0,36,0,0
528,22,24,0,0,36,0,0
552,23,24,0,0,36,0,0
576,24,24,0,0,36,0,0
600,25,24,0,0,36,0,0
601,25,24,0,0,36,0,0
602,25,24,0,0,36,0,0
603,25,24,0,0,36,0,0
604,25,24,0,0,36,0,0
605,25,24,0,0,36,0,0
606,25,24,0,0,36,0,0
607,25,24,0,0,36,0,0
624,26,24,0,0,36,0,0
648,27,24,0,0,36,0,0
672,28,24,0,0,36,0,0
696,29,24,0,0,36,0,0
720,30,24,0,0,36,0,0
721,30,24,0,0,36,0,0
722,30,24,0,0,36,0,0
723,30,24,0,0,36,0,0
724,30,24,0,0,36,0,0
725,30,24,0,0,36,0,0
726,30,24,0,0,36,0,0
727,30,24,0,0,36,0,0
744,31,24,0,0,36,0,0
768,32,24,0,0,36,0,0
792,33,24,0,0,36,0,0
816,34,24,0,0,36,0,0
840,35,24,0,0,36,0,0
841,35,24,0,0,36,0,0
842,35,24,0,0,36,0,0
843,35,24,0,0,36,0,0
844,35,24,0,0,36,0,0
845,35,24,0,0,36,0,0
846,35,24,0,0,36,0,0
847,35,24,0,0,36,0,0
864,36,24,0,0,36,0,0
888,37,24,0,0,36,0,0
912,38,24,0,0,36,0,0
936,39,24,0,0,36,0,0
960,40,24,0,0,36,0,0
961,40,24,0,0,36,0,0
962,40,24,0,0,36,0,0
963,40,24,0,0,36,0,0
964,40,24,0,0,36,0,0
965,40,24,0,0,36,0,0
966,40,24,0,0,36,0,0
967,40,24,0,0,36,0,0
984,41,24,0,0,36,0,0
1008,42,24,0,0,36,0,0
1032,43,24,0,0,36,0,0
1056,44,24,0,0,36,0,0
1080,45,24,0,0,36,0,0
1081,45,24,0,0,36,0,0
1082,45,24,0,0,36,0,0
1083,45,24,0,0,36,0,0
1084,45,24,0,0,36,0,0
1085,45,24,0,0,36,0,0
1086,45,24,0,0,36,0,0
1087,45,24,0,0,36,0,0
1104,46,24,0,0,36,0,0
1128,47,24,0,0,36,0,0
1152,48,24,0,0,36,0,0
1176,49,24,0,0,36,0,0
1200,50,24,0,0,36,0,0
