space_uuid,space_name,space_type_uuid,space_type_name,infection_count,event_count_with_infections
5cb6433c-05a5-4955-a8e6-bf9b2962b4df,Clase1,,,3,3
042fe007-c088-4f72-9960-cc05e7cd69ed,Clase2,,,0,0
f052d030-208c-4e49-b314-a97ea08cdbc5,Clase3,,,0,0
