infection_id,source_agent_id,infected_agent_id,event_id,space_uuid,slot,transmission_probability,infection_chain_id
99804b63-61e3-4e4e-8e99-161ae85d0d30,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0033,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0048,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_95543dca_b4af_44ef_8e3e_5329f03deb3e,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,120,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0033
eb35e5a1-f7fb-429a-9ef1-192356e08f2e,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0055,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0044,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_580fee0b_25ae_43e0_a05b_85a735317f65,042fe007-c088-4f72-9960-cc05e7cd69ed,124,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0055
c5566642-92de-4984-8fb5-994b585db7f1,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0048,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0046,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_072a5113_7019_4870_954f_12d5e848293c,042fe007-c088-4f72-9960-cc05e7cd69ed,245,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0033
