infection_id,source_agent_id,infected_agent_id,event_id,space_uuid,slot,transmission_probability,infection_chain_id
2e1570e5-6afd-4d9f-a813-d76d16cde538,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0013,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0052,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_d44ef3e7_66bb_4984_a85e_3a38c5bc55c7,042fe007-c088-4f72-9960-cc05e7cd69ed,127,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0013
60b2e507-bb4c-4d22-a7c4-285b873dd956,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0052,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0025,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_b797d65d_8967_4e94_8b53_4a7e00fca320,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,241,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0013
e6aa7115-85f8-495d-8e29-093da14d6ed4,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0025,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0031,event_15_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_95543dca_b4af_44ef_8e3e_5329f03deb3e,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,360,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0013
