infection_id,source_agent_id,infected_agent_id,event_id,space_uuid,slot,transmission_probability,infection_chain_id
e5c35b8d-8107-49ae-8c5b-6a1099cc393c,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0049,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0031,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_7166c9fe_85d1_4927_952d_0472ec3afc8c,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,122,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0049
19b0ce63-9f36-4be5-ae01-73ed22bcb031,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0021,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0056,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_e2fb2e37_f7ff_4d3b_9785_76c485995d38,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,123,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0021
b9370520-86f4-47a1-8150-4fb8068999c4,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0017,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0012,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_95543dca_b4af_44ef_8e3e_5329f03deb3e,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,240,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0017
54f92f40-743e-43a9-bd4a-0a9418927caf,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0056,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0004,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_b797d65d_8967_4e94_8b53_4a7e00fca320,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,241,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0021
90e1a8ac-0e00-48d8-97e0-601ba8f0048b,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0012,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0022,event_15_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_072a5113_7019_4870_954f_12d5e848293c,042fe007-c088-4f72-9960-cc05e7cd69ed,365,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0017
526b8213-c585-42d3-9f12-f70f21253ff5,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0004,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0035,event_20_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_1667a04d_615b_4b5d_8c7e_00cef815ae79,042fe007-c088-4f72-9960-cc05e7cd69ed,486,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0021
