slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,40,20,0,0,0,0
1,0,40,20,0,0,0,0
2,0,40,20,0,0,0,0
3,0,40,20,0,0,0,0
4,0,40,20,0,0,0,0
5,0,40,20,0,0,0,0
6,0,40,20,0,0,0,0
7,0,40,20,0,0,0,0
24,1,40,20,0,0,0,0
48,2,40,20,0,0,0,0
72,3,40,20,0,0,0,0
96,4,40,0,20,0,0,0
120,5,39,1,20,0,1,0
121,5,39,1,20,0,0,0
122,5,39,1,20,0,0,0
123,5,39,1,20,0,0,0
124,5,38,2,20,0,1,0
125,5,38,2,20,0,0,0
126,5,38,2,20,0,0,0
127,5,38,2,20,0,0,0
144,6,38,2,20,0,0,0
168,7,38,2,20,0,0,0
192,8,38,2,20,0,0,0
216,9,38,1,21,0,0,0
240,10,38,0,22,0,0,0
241,10,38,0,22,0,0,0
242,10,38,0,22,0,0,0
243,10,38,0,22,0,0,0
244,10,38,0,22,0,0,0
245,10,38,0,22,0,0,0
246,10,38,0,22,0,0,0
247,10,38,0,22,0,0,0
264,11,38,0,2,20,0,0
288,12,38,0,2,20,0,0
312,13,38,0,2,20,0,0
336,14,38,0,2,20,0,0
360,15,38,0,2,20,0,0
361,15,38,0,2,20,0,0
362,15,38,0,2,20,0,0
363,15,38,0,2,20,0,0
364,15,38,0,2,20,0,0
365,15,38,0,2,20,0,0
366,15,38,0,2,20,0,0
367,15,38,0,2,20,0,0
384,16,38,0,0,22,0,0
408,17,38,0,0,22,0,0
432,18,38,0,0,22,0,0
456,19,38,0,0,22,0,0
480,20,38,0,0,22,0,0
481,20,38,0,0,22,0,0
482,20,38,0,0,22,0,0
483,20,38,0,0,22,0,0
484,20,38,0,0,22,0,0
485,20,38,0,0,22,0,0
486,20,38,0,0,22,0,0
487,20,38,0,0,22,0,0
504,21,38,0,0,22,0,0
528,22,38,0,0,22,0,0
552,23,38,0,0,22,0,0
576,24,38,0,0,22,0,0
600,25,38,0,0,22,0,0
601,25,38,0,0,22,0,0
602,25,38,0,0,22,0,0
603,25,38,0,0,22,0,0
604,25,38,0,0,22,0,0
605,25,38,0,0,22,0,0
606,25,38,0,0,22,0,0
607,25,38,0,0,22,0,0
624,26,38,0,0,22,0,0
648,27,38,0,0,22,0,0
672,28,38,0,0,22,0,0
696,29,38,0,0,22,0,0
720,30,38,0,0,22,0,0
