slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
1920,80,25,0,0,5,0,0
1921,80,25,0,0,5,0,0
1922,80,25,0,0,5,0,0
1923,80,25,0,0,5,0,0
1924,80,25,0,0,5,0,0
1925,80,25,0,0,5,0,0
1926,80,25,0,0,5,0,0
1927,80,25,0,0,5,0,0
1944,81,25,0,0,5,0,0
1968,82,25,0,0,5,0,0
1992,83,25,0,0,5,0,0
2016,84,25,0,0,5,0,0
2040,85,25,0,0,5,0,0
2041,85,25,0,0,5,0,0
2042,85,25,0,0,5,0,0
2043,85,25,0,0,5,0,0
2044,85,25,0,0,5,0,0
2045,85,25,0,0,5,0,0
2046,85,25,0,0,5,0,0
2047,85,25,0,0,5,0,0
2064,86,25,0,0,5,0,0
2088,87,25,0,0,5,0,0
2112,88,25,0,0,5,0,0
2136,89,25,0,0,5,0,0
2160,90,25,0,0,5,0,0
2161,90,25,0,0,5,0,0
2162,90,25,0,0,5,0,0
2163,90,25,0,0,5,0,0
2164,90,25,0,0,5,0,0
2165,90,25,0,0,5,0,0
2166,90,25,0,0,5,0,0
2167,90,25,0,0,5,0,0
2184,91,25,0,0,5,0,0
2208,92,25,0,0,5,0,0
2232,93,25,0,0,5,0,0
2256,94,25,0,0,5,0,0
2280,95,25,0,0,5,0,0
2281,95,25,0,0,5,0,0
2282,95,25,0,0,5,0,0
2283,95,25,0,0,5,0,0
2284,95,25,0,0,5,0,0
2285,95,25,0,0,5,0,0
2286,95,25,0,0,5,0,0
2287,95,25,0,0,5,0,0
2304,96,25,0,0,5,0,0
2328,97,25,0,0,5,0,0
2352,98,25,0,0,5,0,0
2376,99,25,0,0,5,0,0
2400,100,25,0,0,5,0,0
2401,100,25,0,0,5,0,0
2402,100,25,0,0,5,0,0
2403,100,25,0,0,5,0,0
2404,100,25,0,0,5,0,0
2405,100,25,0,0,5,0,0
2406,100,25,0,0,5,0,0
2407,100,25,0,0,5,0,0
2424,101,25,0,0,5,0,0
2448,102,25,0,0,5,0,0
2472,103,25,0,0,5,0,0
2496,104,25,0,0,5,0,0
2520,105,25,0,0,5,0,0
2521,105,25,0,0,5,0,0
2522,105,25,0,0,5,0,0
2523,105,25,0,0,5,0,0
2524,105,25,0,0,5,0,0
2525,105,25,0,0,5,0,0
2526,105,25,0,0,5,0,0
2527,105,25,0,0,5,0,0
2544,106,25,0,0,5,0,0
2568,107,25,0,0,5,0,0
2592,108,25,0,0,5,0,0
2616,109,25,0,0,5,0,0
2640,110,25,0,0,5,0,0
2641,110,25,0,0,5,0,0
2642,110,25,0,0,5,0,0
2643,110,25,0,0,5,0,0
2644,110,25,0,0,5,0,0
2645,110,25,0,0,5,0,0
2646,110,25,0,0,5,0,0
2647,110,25,0,0,5,0,0
2664,111,25,0,0,5,0,0
2688,112,25,0,0,5,0,0
2712,113,25,0,0,5,0,0
2736,114,25,0,0,5,0,0
2760,115,25,0,0,5,0,0
2761,115,25,0,0,5,0,0
2762,115,25,0,0,5,0,0
2763,115,25,0,0,5,0,0
2764,115,25,0,0,5,0,0
2765,115,25,0,0,5,0,0
2766,115,25,0,0,5,0,0
2767,115,25,0,0,5,0,0
2784,116,25,0,0,5,0,0
2808,117,25,0,0,5,0,0
