infection_id,source_agent_id,infected_agent_id,event_id,space_uuid,slot,transmission_probability,infection_chain_id
5d2067e0-a340-42f7-a15a-8ef0879001ae,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0032,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0012,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_95543dca_b4af_44ef_8e3e_5329f03deb3e,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,120,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0032
bc6ece97-dece-4482-baa7-408fdceb7c3b,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0026,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0016,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_7166c9fe_85d1_4927_952d_0472ec3afc8c,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,122,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0026
ee7a2f3c-0a45-4f2d-a7fb-90ddb674f785,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0040,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0028,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_7166c9fe_85d1_4927_952d_0472ec3afc8c,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,122,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0040
37fc3dd4-111f-4cdf-ba1f-cfcad9d667ec,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0047,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0039,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_b797d65d_8967_4e94_8b53_4a7e00fca320,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,241,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0047
db4be810-403d-467e-9854-1e8300cef65d,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0019,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0005,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_580fee0b_25ae_43e0_a05b_85a735317f65,042fe007-c088-4f72-9960-cc05e7cd69ed,244,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0019
15d9afb7-24cf-4c12-9ed9-cb6da25cc688,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0056,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0057,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_072a5113_7019_4870_954f_12d5e848293c,042fe007-c088-4f72-9960-cc05e7cd69ed,245,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0056
