infection_id,source_agent_id,infected_agent_id,event_id,space_uuid,slot,transmission_probability,infection_chain_id
41a66955-6a6d-4216-93bd-db06cad9140e,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0050,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0014,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_95543dca_b4af_44ef_8e3e_5329f03deb3e,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,120,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0050
f86df19e-cc48-4ace-8902-e1fd966b7b51,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0035,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0018,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_072a5113_7019_4870_954f_12d5e848293c,042fe007-c088-4f72-9960-cc05e7cd69ed,125,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0035
5c4b0d5e-9558-460a-bf0d-63b9df3264db,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0046,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0048,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_072a5113_7019_4870_954f_12d5e848293c,042fe007-c088-4f72-9960-cc05e7cd69ed,125,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0046
12f25baa-0cb7-4635-9ec8-2597fe970222,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0001,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0027,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_95543dca_b4af_44ef_8e3e_5329f03deb3e,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,240,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0001
