infection_id,source_agent_id,infected_agent_id,event_id,space_uuid,slot,transmission_probability,infection_chain_id
3e26d4df-80e9-47d9-8daf-774d59416da8,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0002,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0046,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_b797d65d_8967_4e94_8b53_4a7e00fca320,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,121,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0002
18956358-f892-4d7e-a4e1-762400354402,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0003,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0025,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_580fee0b_25ae_43e0_a05b_85a735317f65,042fe007-c088-4f72-9960-cc05e7cd69ed,124,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0003
8b2a96e1-7478-4c9c-965e-9faaf395700a,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0045,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0036,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_580fee0b_25ae_43e0_a05b_85a735317f65,042fe007-c088-4f72-9960-cc05e7cd69ed,124,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0045
ed31568f-1fd4-413f-89b3-25ee23d1f7da,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0024,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0043,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_95543dca_b4af_44ef_8e3e_5329f03deb3e,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,240,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0024
94996ca6-2e8f-4cce-81fb-934f80051977,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0040,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0028,event_10_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_7166c9fe_85d1_4927_952d_0472ec3afc8c,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,242,0.024499999999999966,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0040
