slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,40,20,0,0,0,0
1,0,40,20,0,0,0,0
2,0,40,20,0,0,0,0
3,0,40,20,0,0,0,0
4,0,40,20,0,0,0,0
5,0,40,20,0,0,0,0
6,0,40,20,0,0,0,0
7,0,40,20,0,0,0,0
24,1,40,20,0,0,0,0
48,2,40,20,0,0,0,0
72,3,40,20,0,0,0,0
96,4,40,0,20,0,0,0
120,5,40,0,20,0,0,0
121,5,39,1,20,0,1,0
122,5,39,1,20,0,0,0
123,5,39,1,20,0,0,0
124,5,37,3,20,0,2,0
125,5,37,3,20,0,0,0
126,5,37,3,20,0,0,0
127,5,37,3,20,0,0,0
144,6,37,3,20,0,0,0
168,7,37,3,20,0,0,0
192,8,37,3,20,0,0,0
216,9,37,3,20,0,0,0
240,10,36,1,23,0,1,0
241,10,36,1,23,0,0,0
242,10,35,2,23,0,1,0
243,10,35,2,23,0,0,0
244,10,35,2,23,0,0,0
245,10,35,2,23,0,0,0
246,10,35,2,23,0,0,0
247,10,35,2,23,0,0,0
264,11,35,2,3,20,0,0
288,12,35,2,3,20,0,0
312,13,35,2,3,20,0,0
336,14,35,1,4,20,0,0
360,15,35,0,5,20,0,0
361,15,35,0,5,20,0,0
362,15,35,0,5,20,0,0
363,15,35,0,5,20,0,0
364,15,35,0,5,20,0,0
365,15,35,0,5,20,0,0
366,15,35,0,5,20,0,0
367,15,35,0,5,20,0,0
384,16,35,0,2,23,0,0
408,17,35,0,2,23,0,0
432,18,35,0,2,23,0,0
456,19,35,0,2,23,0,0
480,20,35,0,2,23,0,0
