run_id,seed,started_at,finished_at,execution_time_seconds,total_infections,peak_infectious,final_susceptible,final_exposed,final_infectious,final_recovered
70b669a2-f1c2-462b-a67f-8f558ff46698,2589683444,2026-06-11T13:55:53,2026-06-11T13:55:53,0.11354120000032708,13,13,47,0,0,13
86b158e5-31a3-42d7-9f91-e5c95d40fed4,232037610,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10202510003000498,14,13,46,0,0,14
dbfb81f2-8b5a-495d-acfc-15a8120815e0,4154170136,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10162500001024455,11,10,49,0,0,11
b38ebcba-5c28-4a84-8b5a-74732f67b6ae,2685146596,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10204089997569099,11,10,49,0,0,11
70dbb574-2196-4a94-819f-c96a4c515aba,2556747720,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10253149998607114,12,12,48,0,0,12
f43403d6-336a-4bc7-8efa-48ef167e527d,2322413842,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10152059997199103,11,11,49,0,0,11
0ccdbfee-771d-4452-abd6-8b648e7a02f7,678270175,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10180259996559471,13,11,47,0,0,13
81b315f7-5557-41f1-826d-05ce94a36f5e,1889406655,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10173879994545132,12,12,48,0,0,12
0a06d7d4-d46e-4b76-834a-b49be08ff046,657732923,2026-06-11T13:55:53,2026-06-11T13:55:53,0.10286679997807369,11,11,49,0,0,11
31f5eacd-85b7-41e6-9fc9-836b85576789,1659763200,2026-06-11T13:55:53,2026-06-11T13:55:54,0.10361579997697845,10,10,50,0,0,10
9b20e765-dbd6-45fc-8bc7-39f27cb373df,3746196560,2026-06-11T13:55:54,2026-06-11T13:55:54,0.10210870002629235,10,10,50,0,0,10
7964dd41-fe2a-4106-b0ad-68a082bd3625,370486781,2026-06-11T13:55:54,2026-06-11T13:55:54,0.10174929996719584,10,10,50,0,0,10
36ce9387-157d-4da4-b0b2-5cdd7ec0937d,3134218872,2026-06-11T13:55:54,2026-06-11T13:55:54,0.10272049997001886,11,11,49,0,0,11
4bfeff5e-e50c-4010-8a7f-b1defb9ce017,4231600941,2026-06-11T13:55:54,2026-06-11T13:55:54,0.10184540000045672,10,10,50,0,0,10
163ad234-ef23-4acb-8abc-872e8e246610,3168370497,2026-06-11T13:55:54,2026-06-11T13:55:54,0.10179880005307496,12,12,48,0,0,12
5d5434a3-644c-4759-b014-76fe51b3d3bc,2394566529,2026-06-11T13:55:54,2026-06-11T13:55:54,0.10195659997407347,15,14,45,0,0,15
40b4a0ed-2f25-44d9-b00f-add3644f5fa1,1608783415,2026-06-11T13:55:54,2026-06-11T13:55:54,0.10166460002074018,11,10,49,0,0,11
0259e58b-72ea-4ecf-9ae5-5b036807c089,345985260,2026-06-11T13:55:54,2026-06-11T13:55:54,0.1015631000045687,12,12,48,0,0,12
5a9aad18-7c52-4c7f-81a3-c7c0af973e8c,2149924946,2026-06-11T13:55:54,2026-06-11T13:55:55,0.10167810000712052,10,10,50,0,0,10
d373e891-55be-4392-b391-a806e058d2c5,2755292988,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10376839997479692,11,11,49,0,0,11
37dc8d53-d59a-4315-80ad-33b2218437cf,2923420066,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10347089997958392,14,13,46,0,0,14
0ccefdd7-7c49-4157-bb74-4aee7c7794b8,3394306028,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10302910004975274,10,10,50,0,0,10
f5dbbc8c-97bb-4d4a-ad71-44583cda3d74,3371754174,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10245450004003942,12,11,48,0,0,12
c624ad3b-2de9-4437-9f53-89804cd1879a,1991191405,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10182750003878027,11,11,49,0,0,11
5bd609ac-437d-4293-b55b-14cc59eac9fb,2590289935,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10180800000671297,10,10,50,0,0,10
75ccb7ce-e1af-4b59-aeb4-dca75d02c5f8,539858589,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10367830004543066,12,12,48,0,0,12
d795059e-4e61-4c98-a268-641fa14a2986,2025823821,2026-06-11T13:55:55,2026-06-11T13:55:55,0.1027279999689199,10,10,50,0,0,10
