infection_id,source_agent_id,infected_agent_id,event_id,space_uuid,slot,transmission_probability,infection_chain_id
35a6a37c-fd4e-4363-8f2e-c867fff5f7d0,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0010,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0057,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_7166c9fe_85d1_4927_952d_0472ec3afc8c,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,122,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0010
ee318cff-3238-4058-a79d-28ca5bd595c0,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0010,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0008,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_e2fb2e37_f7ff_4d3b_9785_76c485995d38,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,123,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0010
d00daebf-ce45-491b-919d-7ffc8383c27d,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0012,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0058,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_e2fb2e37_f7ff_4d3b_9785_76c485995d38,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,123,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0012
3645e0e8-ae6e-46f7-8f98-51d0e0f078db,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0033,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0003,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_e2fb2e37_f7ff_4d3b_9785_76c485995d38,5cb6433c-05a5-4955-a8e6-bf9b2962b4df,123,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0033
38a0f23d-1b24-4273-b939-425fe78bac28,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0007,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0060,event_5_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_072a5113_7019_4870_954f_12d5e848293c,042fe007-c088-4f72-9960-cc05e7cd69ed,125,0.05600000000000005,agent_e2d1b40d_70cd_43a3_9467_b1a99b1f5351_0007
